単元,Q.単元,品詞,Q.品詞,単語,異形,Q.単語,出現回数,answer,間違い1,間違い2,間違い3,kaisetsu,辞書引用,抜粋,ランダム,ショートコード,,,
3:名詞の一般変化,3:名詞の一般変化クイズ,女性名詞α,女性名詞αクイズ,ὥρα,,Q. ὥρα,106,時間、機会,家、家庭、家族,マリア,心,"(106)時間、機会、厳密には日出から日没までの時間（ἡμέρα）の十二分の一，季節によって長短がある．また夜の時間についても，その十二分の一をὡραと言った．昔の時間計算での最小単位；(転じて）時間，時刻，時；ὡρα πολλή おそい時刻，マル6:35；πρὸς ὡραν しばらくの間，ごく短い間も；πρὸς καιρὸν ὥρας しばらくの間．
類語：καιρός，χρόνος","時間、機会、厳密には日出から日没までの時間（ἡμέρα）の十二分の一，季節によって長短がある．また夜の時間についても，その十二分の一をὡραと言った．昔の時間計算での最小単位；(転じて）時間，時刻，時；ὡρα πολλή おそい時刻，マル6:35；πρὸς ὡραν しばらくの間，ごく短い間も；πρὸς καιρὸν ὥρας しばらくの間．
類語：καιρός，χρόνος",(106)時間、機会,"""true""","[quiz question=""時間、機会,家、家庭、家族,マリア,心"" answer=""時間、機会"" kaisetsu=""(106)時間、機会、厳密には日出から日没までの時間（ἡμέρα）の十二分の一，季節によって長短がある．また夜の時間についても，その十二分の一をὡραと言った．昔の時間計算での最小単位；(転じて）時間，時刻，時；ὡρα πολλή おそい時刻，マル6:35；πρὸς ὡραν しばらくの間，ごく短い間も；πρὸς καιρὸν ὥρας しばらくの間．
類語：καιρός，χρόνος"" random=""true""]ὥρα[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,女性名詞ηα,女性名詞ηαクイズ,δόξα,,Q. δόξα,166,栄光、威光,時間、機会,家、家庭、家族,マリア,(166) ①意見，評価，評判；（この意味では新約中では常に）よい評判，評価，ほまれ，賞賛，栄誉，ヨハ12：43，ルカ14：10．②栄光，尊厳，完全さの輝き（聖書ヘブライ語「カヴォード」の訳語として）；特に δόξα τῳ θεῳ「神の栄光」は神のほむべさ偉大さ，その聖･義･愛･贖罪の業などの卓越を表現する，ヨハ1：14；δόξα τῳ θεῳ「神に栄光！」は頒栄の言葉，フィリ4:20；δὸς δόξαω τῳ θεῳ「神に栄光を帰せよ(ヨハ9:24)」は「包みかくさず真実を言え―嘘をついて神をないがしろにしてはならぬ」．③（視覚的な）光輝，輝き，壮麗，ルカ2：9；この意味では至聖所の輝きを表わしたヘブライ語「シェヒナー」(旧約本文には出ない)の訳語としても使われた, ①意見，評価，評判；（この意味では新約中では常に）よい評判，評価，ほまれ，賞賛，栄誉，ヨハ12：43，ルカ14：10．②栄光，尊厳，完全さの輝き（聖書ヘブライ語「カヴォード」の訳語として）；特に δόξα τῳ θεῳ「神の栄光」は神のほむべさ偉大さ，その聖･義･愛･贖罪の業などの卓越を表現する，ヨハ1：14；δόξα τῳ θεῳ「神に栄光！」は頒栄の言葉，フィリ4:20；δὸς δόξαω τῳ θεῳ「神に栄光を帰せよ(ヨハ9:24)」は「包みかくさず真実を言え―嘘をついて神をないがしろにしてはならぬ」．③（視覚的な）光輝，輝き，壮麗，ルカ2：9；この意味では至聖所の輝きを表わしたヘブライ語「シェヒナー」(旧約本文には出ない)の訳語としても使われた,(166)栄光、威光,"""true""","[quiz question=""栄光、威光,時間、機会,家、家庭、家族,マリア"" answer=""栄光、威光"" kaisetsu=""(166) ①意見，評価，評判；（この意味では新約中では常に）よい評判，評価，ほまれ，賞賛，栄誉，ヨハ12：43，ルカ14：10．②栄光，尊厳，完全さの輝き（聖書ヘブライ語「カヴォード」の訳語として）；特に δόξα τῳ θεῳ「神の栄光」は神のほむべさ偉大さ，その聖･義･愛･贖罪の業などの卓越を表現する，ヨハ1：14；δόξα τῳ θεῳ「神に栄光！」は頒栄の言葉，フィリ4:20；δὸς δόξαω τῳ θεῳ「神に栄光を帰せよ(ヨハ9:24)」は「包みかくさず真実を言え―嘘をついて神をないがしろにしてはならぬ」．③（視覚的な）光輝，輝き，壮麗，ルカ2：9；この意味では至聖所の輝きを表わしたヘブライ語「シェヒナー」(旧約本文には出ない)の訳語としても使われた"" random=""true""]δόξα[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,女性名詞α,女性名詞αクイズ,θάλασσα,,Q. θάλασσα,91,海、湖,栄光、威光,時間、機会,家、家庭、家族 ,"(91)①海；陸 γῆ に対して；地名の例 Έρυθρὰ θάλασσα  紅海； τὸ πέλαγος τῆς θαλάσσης 同義語反復による強調で，大海原，海の深み，マタ18:6  ②湖（＝λίμνη）；地名の例 ἡ θάλασσα τῆς Γαριλαίας（Τιωεριάδος)，ガリラヤ湖（ティベリアス湖）．
類語：πέλαγος 水面の広い広がりを言う；θάλασσα，陸に対する海．","①海；陸 γῆ に対して；地名の例 Έρυθρὰ θάλασσα  紅海； τὸ πέλαγος τῆς θαλάσσης 同義語反復による強調で，大海原，海の深み，マタ18:6  ②湖（＝λίμνη）；地名の例 ἡ θάλασσα τῆς Γαριλαίας（Τιωεριάδος)，ガリラヤ湖（ティベリアス湖）．
類語：πέλαγος 水面の広い広がりを言う；θάλασσα，陸に対する海．",(91)海、湖,"""true""","[quiz question=""海、湖,栄光、威光,時間、機会,家、家庭、家族 "" answer=""海、湖"" kaisetsu=""(91)①海；陸 γῆ に対して；地名の例 Έρυθρὰ θάλασσα  紅海； τὸ πέλαγος τῆς θαλάσσης 同義語反復による強調で，大海原，海の深み，マタ18:6  ②湖（＝λίμνη）；地名の例 ἡ θάλασσα τῆς Γαριλαίας（Τιωεριάδος)，ガリラヤ湖（ティベリアス湖）．
類語：πέλαγος 水面の広い広がりを言う；θάλασσα，陸に対する海．"" random=""true""]θάλασσα[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,βιβλίον,,Q. βιβλίον,34,本、巻き物,海、湖,栄光、威光,時間、機会,"(34)巻物  文書   書物；βιβλίον ζωῆς  生命の書；βιβλίον ἀποστασίον 離縁状；《書物の意味では βίβλος に代って広く使われた．現代ギリシャ語でも書物は  βιβλίον , βιβλία  巻物でなくなっても》","巻物  文書   書物；βιβλίον ζωῆς  生命の書；βιβλίον ἀποστασίον 離縁状；《書物の意味では βίβλος に代って広く使われた．現代ギリシャ語でも書物は  βιβλίον , βιβλία  巻物でなくなっても》",(34)本、巻き物,"""true""","[quiz question=""本、巻き物,海、湖,栄光、威光,時間、機会"" answer=""本、巻き物"" kaisetsu=""(34)巻物  文書   書物；βιβλίον ζωῆς  生命の書；βιβλίον ἀποστασίον 離縁状；《書物の意味では βίβλος に代って広く使われた．現代ギリシャ語でも書物は  βιβλίον , βιβλία  巻物でなくなっても》"" random=""true""]βιβλίον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,δαιμόνιον,,Q. δαιμόνιον,63,悪魔,本、巻き物,海、湖,栄光、威光,"(63) ①ギリシャ哲学用語としての「神」( 神的存在( デモン＝δαίμων , 使17:18) ②悪霊；［新約で特に］悪魔の指揮下に悪魔の意志を行なって人を支配しようとする諸霊，マコ3:22；《「悪鬼」という訳語はデモニオンが死霊の意味をも持つため.「鬼」は本来「死者の霊」の意．δαίμων の項，πνεῦμα の項の ④(d)を見よ》"," ①ギリシャ哲学用語としての「神」( 神的存在( デモン＝δαίμων , 使17:18) ②悪霊；［新約で特に］悪魔の指揮下に悪魔の意志を行なって人を支配しようとする諸霊，マコ3:22；《「悪鬼」という訳語はデモニオンが死霊の意味をも持つため.「鬼」は本来「死者の霊」の意．δαίμων の項，πνεῦμα の項の ④(d)を見よ》",(63)悪魔,"""true""","[quiz question=""悪魔,本、巻き物,海、湖,栄光、威光"" answer=""悪魔"" kaisetsu=""(63) ①ギリシャ哲学用語としての「神」( 神的存在( デモン＝δαίμων , 使17:18) ②悪霊；［新約で特に］悪魔の指揮下に悪魔の意志を行なって人を支配しようとする諸霊，マコ3:22；《「悪鬼」という訳語はデモニオンが死霊の意味をも持つため.「鬼」は本来「死者の霊」の意．δαίμων の項，πνεῦμα の項の ④(d)を見よ》"" random=""true""]δαιμόνιον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,ἔργον,,Q. ἔργον,169,仕事,悪魔,本、巻き物,海、湖,"(169)①仕事，働き，労働；（義務として課せられた）仕事，課業，職務，労役；農業用語としても使われた．②行為，行い，実行，しわざ，わざ，業績；ガラ3:2,5,  ἔργων νόμου  律法の行為(律法の規定を実行した実績)に基づいて―この文脈では ἐξ ἀκοῆς πίστεως（信仰の福音を聞いて服したことに基づいて）と対照されている．参考：「律法励行の道」(「信仰聴聞の道」(飯島正久)．③仕事によって生み出された結果，作， 作品，製作物；ロマ14:20．④事柄，こと；使5:38(岩隈).
類語：ἐρφασία","①仕事，働き，労働；（義務として課せられた）仕事，課業，職務，労役；農業用語としても使われた．②行為，行い，実行，しわざ，わざ，業績；ガラ3:2,5,  ἔργων νόμου  律法の行為(律法の規定を実行した実績)に基づいて―この文脈では ἐξ ἀκοῆς πίστεως（信仰の福音を聞いて服したことに基づいて）と対照されている．参考：「律法励行の道」(「信仰聴聞の道」(飯島正久)．③仕事によって生み出された結果，作， 作品，製作物；ロマ14:20．④事柄，こと；使5:38(岩隈).
類語：ἐρφασία",(169)仕事,"""true""","[quiz question=""仕事,悪魔,本、巻き物,海、湖"" answer=""仕事"" kaisetsu=""(169)①仕事，働き，労働；（義務として課せられた）仕事，課業，職務，労役；農業用語としても使われた．②行為，行い，実行，しわざ，わざ，業績；ガラ3:2,5,  ἔργων νόμου  律法の行為(律法の規定を実行した実績)に基づいて―この文脈では ἐξ ἀκοῆς πίστεως（信仰の福音を聞いて服したことに基づいて）と対照されている．参考：「律法励行の道」(「信仰聴聞の道」(飯島正久)．③仕事によって生み出された結果，作， 作品，製作物；ロマ14:20．④事柄，こと；使5:38(岩隈).
類語：ἐρφασία"" random=""true""]ἔργον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,εὐαγγέλιον,,Q. εὐαγγέλιον,76,福音、朗報,仕事,悪魔,本、巻き物,(76)εὔαγγελος 喜びを伝える＜εὐ+ἀγγέλλω＜ἀγγέλλω）  嬉しい知らせ，良いおとずれ，福音，吉報；特にメシヤがやがて来るという福音，メシヤによる罪の赦しが来るという福音，メシヤによる罪の赦しがすでに成就されて信じる人にはだれにでも与えられるという福音；「キリストの福音」はキリストがその福音の内容であることを，「神の福音」は神が福音なさる福音を表わす；語源の初めに掲げた εὔαγγελος や前項動詞の分詞 εὐαγγελιζόμενος はイザヤ52:7等の「メヴァッセール」(福音者)につながる ,εὔαγγελος 喜びを伝える＜εὐ+ἀγγέλλω＜ἀγγέλλω）  嬉しい知らせ，良いおとずれ，福音，吉報；特にメシヤがやがて来るという福音，メシヤによる罪の赦しが来るという福音，メシヤによる罪の赦しがすでに成就されて信じる人にはだれにでも与えられるという福音；「キリストの福音」はキリストがその福音の内容であることを，「神の福音」は神が福音なさる福音を表わす；語源の初めに掲げた εὔαγγελος や前項動詞の分詞 εὐαγγελιζόμενος はイザヤ52:7等の「メヴァッセール」(福音者)につながる ,(76)福音、朗報,"""true""","[quiz question=""福音、朗報,仕事,悪魔,本、巻き物"" answer=""福音、朗報"" kaisetsu=""(76)εὔαγγελος 喜びを伝える＜εὐ+ἀγγέλλω＜ἀγγέλλω）  嬉しい知らせ，良いおとずれ，福音，吉報；特にメシヤがやがて来るという福音，メシヤによる罪の赦しが来るという福音，メシヤによる罪の赦しがすでに成就されて信じる人にはだれにでも与えられるという福音；「キリストの福音」はキリストがその福音の内容であることを，「神の福音」は神が福音なさる福音を表わす；語源の初めに掲げた εὔαγγελος や前項動詞の分詞 εὐαγγελιζόμενος はイザヤ52:7等の「メヴァッセール」(福音者)につながる "" random=""true""]εὐαγγέλιον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,ἱερόν,,Q. ἱερόν,71,神殿、寺院、聖地,福音、朗報,仕事,悪魔,(71)神殿、寺院、聖地,神殿、寺院、聖地,(71)神殿、寺院、聖地,"""true""","[quiz question=""神殿、寺院、聖地,福音、朗報,仕事,悪魔"" answer=""神殿、寺院、聖地"" kaisetsu=""(71)神殿、寺院、聖地"" random=""true""]ἱερόν[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,πλοῖον,,Q. πλοῖον,68,舟、小舟,神殿、寺院、聖地,福音、朗報,仕事,(68)  舟，ボート，船；古語 ναῦςが殆ど廃語となっていたため，大きな船舶を表わすのにもπλοῖον を使い，パウロの乗ったπροῖον (使27:37) には276人が乗っていた．,  舟，ボート，船；古語 ναῦςが殆ど廃語となっていたため，大きな船舶を表わすのにもπλοῖον を使い，パウロの乗ったπροῖον (使27:37) には276人が乗っていた．,(68)舟、小舟,"""true""","[quiz question=""舟、小舟,神殿、寺院、聖地,福音、朗報,仕事"" answer=""舟、小舟"" kaisetsu=""(68)  舟，ボート，船；古語 ναῦςが殆ど廃語となっていたため，大きな船舶を表わすのにもπλοῖον を使い，パウロの乗ったπροῖον (使27:37) には276人が乗っていた．"" random=""true""]πλοῖον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,πρόσωπον,,Q. πρόσωπον,76,顔,舟、小舟,神殿、寺院、聖地,福音、朗報,"(76)①人間の顔面，顔，面（つら）；pro. prosw,pou sou/（ヘブライ的表現）＝pro. sou/( あなたの顔の前に＝あなたの前に，マタ11:10；pro,swpon pro.j pro,swpon( 顔と顔を合わせて，面と向かって，Ⅰコリ13:12．②神の顔，御顔（みかお）；擬人的表現；神の臨在，神のおられる所（前)，面前)  ③容貌，外観，姿，様，表面，うわべ，様子；ルカ21:35，マタ16:3. ④ble,pein eivj pro,swpon( qauma,zein pro,swpon( lamba,nein pro,swpon等は，いずれも「分け隔てする，差別扱いする」という意味のヘブライ的表現  ⑤pro. prosw,pou 属格((（位置的・時間的―①の「面前」の意味以外に）～の前に；使13:24，pro. prosw,pou th/j eivso,dou auvtou/( 彼が（入って）来る前に．⑥（形を持った）本人，人，Ⅱコリ1:11．","①人間の顔面，顔，面（つら）；pro. prosw,pou sou/（ヘブライ的表現）＝pro. sou/( あなたの顔の前に＝あなたの前に，マタ11:10；pro,swpon pro.j pro,swpon( 顔と顔を合わせて，面と向かって，Ⅰコリ13:12．②神の顔，御顔（みかお）；擬人的表現；神の臨在，神のおられる所（前)，面前)  ③容貌，外観，姿，様，表面，うわべ，様子；ルカ21:35，マタ16:3. ④ble,pein eivj pro,swpon( qauma,zein pro,swpon( lamba,nein pro,swpon等は，いずれも「分け隔てする，差別扱いする」という意味のヘブライ的表現  ⑤pro. prosw,pou 属格((（位置的・時間的―①の「面前」の意味以外に）～の前に；使13:24，pro. prosw,pou th/j eivso,dou auvtou/( 彼が（入って）来る前に．⑥（形を持った）本人，人，Ⅱコリ1:11．",(76)顔,"""true""","[quiz question=""顔,舟、小舟,神殿、寺院、聖地,福音、朗報"" answer=""顔"" kaisetsu=""(76)①人間の顔面，顔，面（つら）；pro. prosw,pou sou/（ヘブライ的表現）＝pro. sou/( あなたの顔の前に＝あなたの前に，マタ11:10；pro,swpon pro.j pro,swpon( 顔と顔を合わせて，面と向かって，Ⅰコリ13:12．②神の顔，御顔（みかお）；擬人的表現；神の臨在，神のおられる所（前)，面前)  ③容貌，外観，姿，様，表面，うわべ，様子；ルカ21:35，マタ16:3. ④ble,pein eivj pro,swpon( qauma,zein pro,swpon( lamba,nein pro,swpon等は，いずれも「分け隔てする，差別扱いする」という意味のヘブライ的表現  ⑤pro. prosw,pou 属格((（位置的・時間的―①の「面前」の意味以外に）～の前に；使13:24，pro. prosw,pou th/j eivso,dou auvtou/( 彼が（入って）来る前に．⑥（形を持った）本人，人，Ⅱコリ1:11．"" random=""true""]πρόσωπον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,σάββατον,,Q. σάββατον,68,安息日,顔,舟、小舟,神殿、寺院、聖地,"(68)安息日、（ヘブライ語シャバトのアラム語形シャバタ がまずσάββαταと音訳され，この語形を古代ギリシャの祭礼の名の多くと同じに中性複数形と見て，逆算的にσάββατονという単数形を作った．元の複数形も単数の意味で使うことができた，σάββατα,-ων,τά 位格は τοῖς σάββασιν,マタ12:1,12）  ①安息日，週の第七日，今の土曜日；正確には金曜日の日没時刻から土曜日の日没時刻までの24時間；ὁδός σαββάτου, 安息日に許されている距離；労働も旅行も禁止された安息日に，町村の境から外に向かって出て行くことの可能な距離(ὁδόςの項②)――律法に距離の規定は無いが，伝承は出16:29，民35:5，ヨシ3:4を結び付けて解釈し2,000アンマ（約900メートル）とした．特別規定にわる拡大解釈では延長（例4,000アンマ，約1,800メートル）もされた． ②週間（一週間)，週 ―― 安息日σάββατονが一回りする周期，；τρώτηまたはμία(τῶν)σαββάτων あるいは (του)σαββάτου 週の第一日，日曜日；「安息日に続く第一日」とも訳せる．","安息日、（ヘブライ語シャバトのアラム語形シャバタ がまずσάββαταと音訳され，この語形を古代ギリシャの祭礼の名の多くと同じに中性複数形と見て，逆算的にσάββατονという単数形を作った．元の複数形も単数の意味で使うことができた，σάββατα,-ων,τά 位格は τοῖς σάββασιν,マタ12:1,12）  ①安息日，週の第七日，今の土曜日；正確には金曜日の日没時刻から土曜日の日没時刻までの24時間；ὁδός σαββάτου, 安息日に許されている距離；労働も旅行も禁止された安息日に，町村の境から外に向かって出て行くことの可能な距離(ὁδόςの項②)――律法に距離の規定は無いが，伝承は出16:29，民35:5，ヨシ3:4を結び付けて解釈し2,000アンマ（約900メートル）とした．特別規定にわる拡大解釈では延長（例4,000アンマ，約1,800メートル）もされた． ②週間（一週間)，週 ―― 安息日σάββατονが一回りする周期，；τρώτηまたはμία(τῶν)σαββάτων あるいは (του)σαββάτου 週の第一日，日曜日；「安息日に続く第一日」とも訳せる．",(68)安息日,"""true""","[quiz question=""安息日,顔,舟、小舟,神殿、寺院、聖地"" answer=""安息日"" kaisetsu=""(68)安息日、（ヘブライ語シャバトのアラム語形シャバタ がまずσάββαταと音訳され，この語形を古代ギリシャの祭礼の名の多くと同じに中性複数形と見て，逆算的にσάββατονという単数形を作った．元の複数形も単数の意味で使うことができた，σάββατα,-ων,τά 位格は τοῖς σάββασιν,マタ12:1,12）  ①安息日，週の第七日，今の土曜日；正確には金曜日の日没時刻から土曜日の日没時刻までの24時間；ὁδός σαββάτου, 安息日に許されている距離；労働も旅行も禁止された安息日に，町村の境から外に向かって出て行くことの可能な距離(ὁδόςの項②)――律法に距離の規定は無いが，伝承は出16:29，民35:5，ヨシ3:4を結び付けて解釈し2,000アンマ（約900メートル）とした．特別規定にわる拡大解釈では延長（例4,000アンマ，約1,800メートル）もされた． ②週間（一週間)，週 ―― 安息日σάββατονが一回りする周期，；τρώτηまたはμία(τῶν)σαββάτων あるいは (του)σαββάτου 週の第一日，日曜日；「安息日に続く第一日」とも訳せる．"" random=""true""]σάββατον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,σημεῖον,,Q. σημεῖον,77,しるし、奇跡,安息日,顔,舟、小舟,(77) ①しるし，目印，マーク，合図；そのもの（人）を他のもの（人）から区別する独特のしるし，ルカ2:12，Ⅱテサ3:17；証印，ロマ4:11．②兆（きざし)，象徴，証拠，表示，マタ16:3，Ⅰコリ14:22．③奇跡，しるし（神が目の前で生きて働いておられることに気づかせるショッキングな行為やできごと)，マタ12:38；奇跡の意味ではσημεῖα καὶ τέρατα また σημεῖα καὶ δυνάμεις という組み合せでも現われる，使4:30，同8:13．, ①しるし，目印，マーク，合図；そのもの（人）を他のもの（人）から区別する独特のしるし，ルカ2:12，Ⅱテサ3:17；証印，ロマ4:11．②兆（きざし)，象徴，証拠，表示，マタ16:3，Ⅰコリ14:22．③奇跡，しるし（神が目の前で生きて働いておられることに気づかせるショッキングな行為やできごと)，マタ12:38；奇跡の意味ではσημεῖα καὶ τέρατα また σημεῖα καὶ δυνάμεις という組み合せでも現われる，使4:30，同8:13．,(77)しるし、奇跡,"""true""","[quiz question=""しるし、奇跡,安息日,顔,舟、小舟"" answer=""しるし、奇跡"" kaisetsu=""(77) ①しるし，目印，マーク，合図；そのもの（人）を他のもの（人）から区別する独特のしるし，ルカ2:12，Ⅱテサ3:17；証印，ロマ4:11．②兆（きざし)，象徴，証拠，表示，マタ16:3，Ⅰコリ14:22．③奇跡，しるし（神が目の前で生きて働いておられることに気づかせるショッキングな行為やできごと)，マタ12:38；奇跡の意味ではσημεῖα καὶ τέρατα また σημεῖα καὶ δυνάμεις という組み合せでも現われる，使4:30，同8:13．"" random=""true""]σημεῖον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,中性名詞,中性名詞クイズ,τέκνον,,Q. τέκνον,99,子供,しるし、奇跡,安息日,顔,"(99)①（親に対する）子，子供；（先祖に対する）子孫；［呼格］年長者から年少者や弟子へのやさしさのこもった呼びかけ,「子よ！」．②［属格と］～の子（ヘブライ的表現；υἱός の項Ⅰの①をも参照せよ）；（性質や精神を）受け継ぐ者，具体的なかたちに表わす者；例，ルカ7:35，σοφίας  知恵に基づいて生活し，知恵を生活に表わす者；エフェ5:8，φωτός光の子；Ⅰペテ1:14，ὑπακοῆς，従順の子；ヨハ1:12，τέκνα θεοῦ 神の子，神から命を受けて生んで頂いただけでなく神の性質を合わせ持ち，神の性質に似る者たち．","①（親に対する）子，子供；（先祖に対する）子孫；［呼格］年長者から年少者や弟子へのやさしさのこもった呼びかけ,「子よ！」．②［属格と］～の子（ヘブライ的表現；υἱός の項Ⅰの①をも参照せよ）；（性質や精神を）受け継ぐ者，具体的なかたちに表わす者；例，ルカ7:35，σοφίας  知恵に基づいて生活し，知恵を生活に表わす者；エフェ5:8，φωτός光の子；Ⅰペテ1:14，ὑπακοῆς，従順の子；ヨハ1:12，τέκνα θεοῦ 神の子，神から命を受けて生んで頂いただけでなく神の性質を合わせ持ち，神の性質に似る者たち．",(99)子供,"""true""","[quiz question=""子供,しるし、奇跡,安息日,顔"" answer=""子供"" kaisetsu=""(99)①（親に対する）子，子供；（先祖に対する）子孫；［呼格］年長者から年少者や弟子へのやさしさのこもった呼びかけ,「子よ！」．②［属格と］～の子（ヘブライ的表現；υἱός の項Ⅰの①をも参照せよ）；（性質や精神を）受け継ぐ者，具体的なかたちに表わす者；例，ルカ7:35，σοφίας  知恵に基づいて生活し，知恵を生活に表わす者；エフェ5:8，φωτός光の子；Ⅰペテ1:14，ὑπακοῆς，従順の子；ヨハ1:12，τέκνα θεοῦ 神の子，神から命を受けて生んで頂いただけでなく神の性質を合わせ持ち，神の性質に似る者たち．"" random=""true""]τέκνον[/quiz]",,,
3:名詞の一般変化,3:名詞の一般変化クイズ,代名詞,代名詞クイズ,"αὐτός,ή,ό",,"Q. αὐτός,ή,ό",5597,彼、彼女、それ、彼ら,あれ,これ,安息日,"(5597)①《強意代名詞として》自分( 自身( 彼自身( 彼女自身など；主格は単独では人称代名詞を強調するために用いられ，他の名詞・代名詞に対しては述語的位置【この語が冠詞の前［αὐτός＋冠詞＋単語］（または冠詞を伴った語の後ろ［冠詞＋単語＋αὐτός］）に置かれる形】に置いた) また英語のthe veryのように「ほかでもない『その,この』」の意味をも表現した) ②《同一を表わす代名詞として》同じ( 同一の( 《この意味では属性的位置【この語が冠詞と単語との間に置かれる［冠詞＋αὐτός＋単語］か(または冠詞を伴った単語の後ろに同じ形の冠詞を（重複して）置き，その後ろにαὐτόςを続ける形式［冠詞＋単語＋冠詞＋αὐτός］】に置いた》) ③《単なる三人称代名詞として》斜格【主格・呼格以外の格】は「彼( 彼女( それ」などの意味で( 普通の人称代名詞の役割をした)英語の人称代名詞""he，she, it""と違って，それが代表する名詞の性に合わせλόγοςなら αὐτός , φωνήなら αὐτή , τέκνονなら αὐτόで受けた","①《強意代名詞として》自分( 自身( 彼自身( 彼女自身など；主格は単独では人称代名詞を強調するために用いられ，他の名詞・代名詞に対しては述語的位置【この語が冠詞の前［αὐτός＋冠詞＋単語］（または冠詞を伴った語の後ろ［冠詞＋単語＋αὐτός］）に置かれる形】に置いた) また英語のthe veryのように「ほかでもない『その,この』」の意味をも表現した) ②《同一を表わす代名詞として》同じ( 同一の( 《この意味では属性的位置【この語が冠詞と単語との間に置かれる［冠詞＋αὐτός＋単語］か(または冠詞を伴った単語の後ろに同じ形の冠詞を（重複して）置き，その後ろにαὐτόςを続ける形式［冠詞＋単語＋冠詞＋αὐτός］】に置いた》) ③《単なる三人称代名詞として》斜格【主格・呼格以外の格】は「彼( 彼女( それ」などの意味で( 普通の人称代名詞の役割をした)英語の人称代名詞""he，she, it""と違って，それが代表する名詞の性に合わせλόγοςなら αὐτός , φωνήなら αὐτή , τέκνονなら αὐτόで受けた",(5597)彼、彼女、それ、彼ら,"""true""","[quiz question=""彼、彼女、それ、彼ら,あれ,これ,安息日"" answer=""彼、彼女、それ、彼ら"" kaisetsu=""(5597)①《強意代名詞として》自分( 自身( 彼自身( 彼女自身など；主格は単独では人称代名詞を強調するために用いられ，他の名詞・代名詞に対しては述語的位置【この語が冠詞の前［αὐτός＋冠詞＋単語］（または冠詞を伴った語の後ろ［冠詞＋単語＋αὐτός］）に置かれる形】に置いた) また英語のthe veryのように「ほかでもない『その,この』」の意味をも表現した) ②《同一を表わす代名詞として》同じ( 同一の( 《この意味では属性的位置【この語が冠詞と単語との間に置かれる［冠詞＋αὐτός＋単語］か(または冠詞を伴った単語の後ろに同じ形の冠詞を（重複して）置き，その後ろにαὐτόςを続ける形式［冠詞＋単語＋冠詞＋αὐτός］】に置いた》) ③《単なる三人称代名詞として》斜格【主格・呼格以外の格】は「彼( 彼女( それ」などの意味で( 普通の人称代名詞の役割をした)英語の人称代名詞""he，she, it""と違って，それが代表する名詞の性に合わせλόγοςなら αὐτός , φωνήなら αὐτή , τέκνονなら αὐτόで受けた"" random=""true""]αὐτός,ή,ό[/quiz]",,,
